Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Fort Logan,2020,583430,586800,591161,591861,591292,593123,603523,605492,619238,631923,639815,642315
Fort Logan,2021,648223,659946,660092,694861,724107,733907,978161,956346,922807,935153,938115,949769
Fort Logan,2022,965823,985576,1043161,1046807,1084384,1074784,1040215,995676,1000184,994846,996776,0
Lowry Field,2017,906800,940733,926583,912283,898683,900350,928533,942583,944083,962533,963683,963816
Lowry Field,2018,967400,966616,982550,957683,944800,944033,945433,946150,950283,951866,968683,970800
Lowry Field,2019,970150,969233,970933,971650,970250,971483,971516,974433,941266,941583,942316,942900
Lowry Field,2020,943666,946016,949816,968616,985983,949766,950333,950516,966966,1024433,1043133,1042133
Lowry Field,2021,1043166,1046216,1047283,1091816,1143666,1132450,1150250,1130816,1146766,1148633,1150333,1170866
Lowry Field,2022,1206866,1229433,1309733,1332150,1450100,1408766,1383183,1358516,1331933,1464850,1458866,0
Montbello,2017,261126,264866,271920,274533,277066,277840,277980,278020,279260,280793,285200,287680
Montbello,2018,288606,290680,298780,304360,306873,311173,314560,316673,318160,320093,320300,322173
Montbello,2019,321813,321320,320613,321286,321026,322033,322040,323306,327153,326793,327553,328766
Montbello,2020,330973,335206,339520,342553,343860,347226,349606,351906,356560,362093,366346,368753
Montbello,2021,374713,377346,381060,398113,405440,410706,409400,402760,395026,398093,399546,402206
Montbello,2022,407066,414313,443766,459446,464513,457120,448633,439813,439593,459900,454993,0
Barnum West,2017,267420,269100,280920,281840,285660,287640,288700,295420,302200,301200,302540,301240
Barnum West,2018,300040,303760,302880,312260,317380,323340,324740,326700,320920,323640,320580,322860
Barnum West,2019,323520,324340,326960,327700,329480,328260,329180,323980,332640,331220,332200,332320
Barnum West,2020,334700,339020,340440,341180,341320,342580,342560,343000,348820,356460,357360,362340
Barnum West,2021,367280,375500,387180,405580,411880,405260,397100,385080,380800,381080,381660,382980
Barnum West,2022,388140,399500,436260,451180,455820,457080,446260,436920,435600,418120,415360,0
Washington Park,2017,1654525,1677493,1676350,1717637,1681012,1687512,1710925,1725350,1735775,1700306,1710393,1677500
Washington Park,2018,1731306,1716281,1748306,1782875,1784062,1788800,1778156,1785237,1790006,1806881,1834581,1830812
Washington Park,2019,1818275,1807031,1790406,1792781,1773325,1768918,1784200,1804606,1776893,1769268,1756875,1746875
Washington Park,2020,1736593,1737912,1761825,1765618,1773650,1778825,1794275,1799468,1793825,1814025,1835156,1850512
Washington Park,2021,1866587,1893012,1898937,1976700,2029575,2128506,2153681,2114256,2119825,2132937,2171075,2184268
Washington Park,2022,2235950,2275806,2487043,2569812,2597768,2734037,2690568,2617381,2689218,2874281,2936931,0
Hale,2017,475883,489175,500666,502516,506275,508691,505716,507075,512425,512166,518341,521333
Hale,2018,526066,527033,523175,528000,529450,532291,537558,536591,537708,538200,538341,540291
Hale,2019,540383,541050,540016,541616,540316,538408,539125,541525,544966,547950,546508,546266
Hale,2020,544875,548216,552391,554050,552608,553783,550891,553041,573600,578483,584433,584858
Hale,2021,594675,603008,611858,639875,659191,659141,630116,613750,608650,612941,618858,625225
Hale,2022,636475,651183,702975,716450,718883,703491,683983,694116,703008,711041,763558,0
Hampden South,2017,297809,301952,308976,308780,309600,310423,314842,313814,311461,309547,312633,312500
Hampden South,2018,314747,316757,326828,331090,331647,332819,334719,333309,333366,338123,336442,332561
Hampden South,2019,334976,334671,333123,333733,333419,333009,334876,335747,330785,329242,328090,329728
Hampden South,2020,331004,333166,352095,349114,372933,370614,384285,386719,351880,373276,408423,409623
Hampden South,2021,414047,420895,429123,441900,453095,460428,463242,455757,453023,461957,464276,470009
Hampden South,2022,477409,490580,521871,543857,540719,527738,509333,492852,495328,513128,518866,0
Platt Park,2017,544950,561541,566483,568533,563525,564158,575233,574650,576033,580375,580900,572533
Platt Park,2018,580825,585408,587491,596758,596133,604608,605766,613708,610325,607991,607883,628816
Platt Park,2019,636000,633741,635233,636383,638725,629600,628458,631441,646908,644241,638975,651258
Platt Park,2020,646050,654491,662216,666658,664450,682025,696283,689825,709600,716958,711016,718200
Platt Park,2021,723641,735733,731708,782391,803233,849783,866075,850933,849783,849041,869841,871150
Platt Park,2022,881075,902516,946433,973408,985025,987825,937000,915125,896375,943375,947633,0
Hampden,2017,306194,310126,314852,312442,315600,315784,313800,313126,313026,314505,315931,318847
Hampden,2018,317268,319431,320736,321257,328678,329221,330494,332510,334500,334821,336136,337968
Hampden,2019,337668,339473,342221,342578,344905,347215,348636,346373,345110,345021,347368,349242
Hampden,2020,349810,353068,357210,357321,363773,364505,360826,360236,363542,369821,372405,377273
Hampden,2021,380289,386268,390036,410784,421747,423757,421610,410705,407763,413778,418600,421573
Hampden,2022,430473,432973,471068,487526,490252,484047,473778,472273,472494,480589,480621,0
