Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
washington-park-west,2020,35,32,33,34,41,56,52,42,53,58,43,57
washington-park-west,2021,57,36,34,34,57,44,60,63,72,59,61,50
washington-park-west,2022,49,36,65,48,57,52,58,65,4,0,0,0
montclair,2017,30,23,43,27,40,52,52,38,37,47,40,31
montclair,2018,38,33,33,26,30,42,31,51,38,21,25,35
montclair,2019,27,21,24,26,36,33,36,45,23,22,46,33
montclair,2020,32,17,21,50,44,41,56,50,50,41,46,59
montclair,2021,64,56,49,47,48,52,42,49,35,38,35,39
montclair,2022,49,50,43,39,68,50,61,48,2,0,0,0
fort-logan,2017,22,17,25,23,45,41,31,35,33,44,34,25
fort-logan,2018,31,17,29,36,28,49,37,44,37,32,34,35
fort-logan,2019,41,23,27,37,34,27,41,45,22,34,27,30
fort-logan,2020,24,28,26,24,30,38,27,35,21,30,27,18
fort-logan,2021,36,20,30,44,29,28,27,27,35,28,25,45
fort-logan,2022,34,28,43,36,35,33,33,36,0,0,0,0
globeville,2017,55,46,72,39,60,50,48,56,73,52,54,57
globeville,2018,40,69,75,61,70,63,56,67,57,60,78,67
globeville,2019,78,47,60,50,61,43,64,54,57,38,65,59
globeville,2020,62,73,49,65,64,77,81,65,66,71,66,59
globeville,2021,46,54,68,86,61,75,71,61,99,79,69,70
globeville,2022,99,71,71,103,90,112,90,86,4,0,0,0
lowry-field,2017,41,31,34,29,41,49,31,70,36,53,35,20
lowry-field,2018,35,34,32,30,38,45,41,45,48,31,29,29
lowry-field,2019,46,43,41,43,52,50,60,48,27,34,37,42
lowry-field,2020,34,30,54,55,32,49,65,62,60,62,67,86
lowry-field,2021,72,63,85,65,82,71,63,74,58,70,86,67
lowry-field,2022,80,121,87,80,100,66,86,93,0,0,0,0
bear-valley,2017,60,42,44,60,54,30,53,62,47,47,60,54
bear-valley,2018,44,44,47,42,53,40,46,47,54,41,26,19
bear-valley,2019,33,42,38,37,47,32,41,40,32,35,37,29
